weight,source,target
1,5610,7410
1,7410,7420
1,120,5340
1,5840,5860
2,5860,5840
2,5700,410
1,5810,9620
41,9620,4020
1,5240,1300
1,5240,4710
1,5350,6420
1,5000,950
1,5400,1060
6,5860,5400
9,5400,5860
2,5810,5610
1,5610,5350
11,5620,3920
1,5300,340
2,5240,1110
1,5630,4710
1,4710,6200
1,5610,9740
1,800,5100
2,5250,5260
1,5260,5250
1,5600,5000
2,5840,730
1,5010,5240
19,4720,4610
1,5620,1540
1,1540,5620
1,5000,2710
1,5230,2340
1,2340,5230
1,5700,5520
1,5810,4710
1,5140,800
3,3640,5400
8,5400,5240
1,3600,5820
2,5700,5200
1,5840,120
2,5820,5810
3,5700,2310
1,5510,5920
2,5000,620
2,620,2340
1,5560,9810
1,5850,2300
2,5240,910
2,5400,800
2,800,5400
2,5840,5930
1,5930,5840
1,5400,2630
1,4840,5160
8,5160,5240
2,5000,540
2,5400,5160
1,5860,2910
7,5810,5240
1,5900,4430
1,4430,3220
2,5620,4810
2,4810,4110
2,2340,5860
1,5310,3410
1,3410,5310
2,2720,5700
1,3130,5700
1,5620,7000
1,7000,7240
2,5160,5260
1,5260,910
2,5260,3950
2,3950,5930
12,5240,5400
2,5240,2320
2,5020,4110
1,4110,5250
2,5900,5160
3,5860,2200
5,5240,5100
3,5100,5240
3,5260,5240
1,5810,6260
1,5300,4250
2,4250,5300
1,5620,2340
9,2340,4720
1,5420,5240
1,5620,5630
1,5860,2850
1,5150,4220
4,5820,4720
3,4720,1550
1,1550,4710
1,4710,2340
3,5860,5240
2,5700,130
1,5140,620
1,5840,2010
1,5860,3520
3,5810,1960
1,1960,3300
2,5100,5700
1,5320,2300
1,2300,5260
1,5260,5110
2,5110,5930
1,5340,5860
1,5520,5810
6,5400,5110
1,5520,5350
4,5240,5300
2,5300,5160
3,5000,5120
2,5860,3650
3,5300,5400
1,5400,4050
2,4050,5810
2,5810,420
1,100,620
1,5240,1020
1,2010,2550
1,5400,4920
1,5260,5910
1,5910,5850
2,5600,5810
1,5810,5920
1,5920,5620
2,5930,5400
1,540,5840
1,5400,4030
1,4030,430
1,430,4430
3,4430,4250
2,4250,430
3,430,4030
5,4030,5400
2,5000,4810
2,5700,2820
1,2820,2150
2,5810,120
1,5230,4230
1,5300,2310
1,5810,5320
1,5320,2840
1,2840,5320
1,5000,9000
3,5240,2200
1,5000,2810
1,5000,5620
1,5000,7340
1,5120,5000
1,5830,1040
1,1040,5830
1,5120,910
3,5410,5240
1,5350,5700
1,5860,20
1,5700,5330
1,5930,5700
1,5260,20
1,5410,5350
2,430,5930
1,5160,7620
1,7620,830
1,830,7620
2,7620,4720
5,4720,1040
1,1040,830
1,5120,3600
1,5550,3600
1,5860,2320
1,2320,2340
1,5400,110
1,5120,4140
1,4140,5860
1,5860,4950
1,4950,5140
1,5000,4600
1,5510,6230
1,6230,5510
4,5810,5700
3,3600,5240
1,5400,1010
1,1010,5820
1,5820,5620
1,5320,2630
1,2630,5320
1,5140,5120
1,5600,4710
1,5700,1020
1,5000,2850
1,5350,3410
1,5350,5810
2,5620,1960
2,1960,5620
2,5620,4230
1,5700,2750
1,5000,3640
1,5510,5620
